method,config,instance,avg_best8,best8,worst8,std8
GRASP,"iter=60;rcl=4;ls=353",cap81_ss,1.26636e+06,1.23815e+06,1.295e+06,15411
GRASP,"iter=60;rcl=4;ls=353",cap111_ss,1.26364e+06,1.24679e+06,1.28565e+06,12573.1
GRASP,"iter=60;rcl=5;ls=353",cap41_ss,1.67818e+06,1.65313e+06,1.69734e+06,15117.6
GRASP,"iter=60;rcl=5;ls=353",cap81_ss,1.27143e+06,1.25073e+06,1.30465e+06,19758.8
GRASP,"iter=60;rcl=5;ls=353",cap111_ss,1.27627e+06,1.25123e+06,1.30563e+06,18892.8
GRASP,"iter=60;rcl=6;ls=353",cap41_ss,1.68452e+06,1.66075e+06,1.71752e+06,18089.6
GRASP,"iter=60;rcl=6;ls=353",cap81_ss,1.28891e+06,1.25325e+06,1.30788e+06,16971.9
GRASP,"iter=60;rcl=6;ls=353",cap111_ss,1.28839e+06,1.25798e+06,1.31991e+06,17996.8
GRASP,"iter=80;rcl=2;ls=210",cap41_ss,1.63115e+06,1.62085e+06,1.64387e+06,8394.06
GRASP,"iter=80;rcl=2;ls=210",cap81_ss,1.22426e+06,1.2071e+06,1.23589e+06,8319.98
GRASP,"iter=80;rcl=2;ls=210",cap111_ss,1.21468e+06,1.20158e+06,1.22029e+06,5954.32
GRASP,"iter=80;rcl=3;ls=210",cap41_ss,1.67747e+06,1.65809e+06,1.69793e+06,13120
GRASP,"iter=80;rcl=3;ls=210",cap81_ss,1.25868e+06,1.23795e+06,1.28868e+06,13807.2
GRASP,"iter=80;rcl=3;ls=210",cap111_ss,1.25425e+06,1.22758e+06,1.27153e+06,12845.5
GRASP,"iter=80;rcl=4;ls=210",cap41_ss,1.69486e+06,1.64282e+06,1.71124e+06,21480.5
GRASP,"iter=80;rcl=4;ls=210",cap81_ss,1.28252e+06,1.26078e+06,1.31302e+06,14365.4
GRASP,"iter=80;rcl=4;ls=210",cap111_ss,1.27789e+06,1.25019e+06,1.29165e+06,11716.5
GRASP,"iter=80;rcl=5;ls=210",cap41_ss,1.72105e+06,1.67712e+06,1.74681e+06,21476
GRASP,"iter=80;rcl=5;ls=210",cap81_ss,1.30136e+06,1.28166e+06,1.32573e+06,14151.5
GRASP,"iter=80;rcl=5;ls=210",cap111_ss,1.30159e+06,1.25696e+06,1.32118e+06,20876
GRASP,"iter=80;rcl=6;ls=210",cap41_ss,1.72563e+06,1.68757e+06,1.7788e+06,29564.6
GRASP,"iter=80;rcl=6;ls=210",cap81_ss,1.31505e+06,1.27539e+06,1.34273e+06,22232.8
GRASP,"iter=80;rcl=6;ls=210",cap111_ss,1.32289e+06,1.30213e+06,1.35197e+06,16940.9
GRASP,"iter=80;rcl=2;ls=230",cap41_ss,1.64201e+06,1.6261e+06,1.66365e+06,12145.6
GRASP,"iter=80;rcl=2;ls=230",cap81_ss,1.22112e+06,1.21538e+06,1.22944e+06,3934.85
GRASP,"iter=80;rcl=2;ls=230",cap111_ss,1.21364e+06,1.20269e+06,1.22173e+06,6780.84
GRASP,"iter=80;rcl=3;ls=230",cap41_ss,1.66396e+06,1.63578e+06,1.68443e+06,13535
GRASP,"iter=80;rcl=3;ls=230",cap81_ss,1.25611e+06,1.23612e+06,1.27604e+06,10800.7
GRASP,"iter=80;rcl=3;ls=230",cap111_ss,1.25365e+06,1.24203e+06,1.26446e+06,7601.63
