method,config,instance,avg_best8,best8,worst8,std8
SA,"t0=180000;cool=0.997;tmin=8;iter=4",cap81_ss,1.19551e+06,1.18314e+06,1.22203e+06,11095.2
SA,"t0=180000;cool=0.997;tmin=8;iter=4",cap111_ss,1.18832e+06,1.17009e+06,1.20792e+06,11044.9
SA,"t0=180000;cool=0.997;tmin=8;iter=5",cap41_ss,1.57391e+06,1.56538e+06,1.59259e+06,8816.61
SA,"t0=180000;cool=0.997;tmin=8;iter=5",cap81_ss,1.18724e+06,1.18314e+06,1.19154e+06,3653.57
SA,"t0=180000;cool=0.997;tmin=8;iter=5",cap111_ss,1.18052e+06,1.16524e+06,1.19099e+06,8206.67
SA,"t0=180000;cool=0.997;tmin=8;iter=6",cap41_ss,1.5679e+06,1.56235e+06,1.57734e+06,4179.56
SA,"t0=180000;cool=0.997;tmin=8;iter=6",cap81_ss,1.1897e+06,1.18368e+06,1.19732e+06,3880.88
SA,"t0=180000;cool=0.997;tmin=8;iter=6",cap111_ss,1.17882e+06,1.17088e+06,1.18751e+06,5532.79
SA,"t0=180000;cool=0.997;tmin=8;iter=7",cap41_ss,1.56631e+06,1.55975e+06,1.57797e+06,5871.37
SA,"t0=180000;cool=0.997;tmin=8;iter=7",cap81_ss,1.18756e+06,1.1841e+06,1.19028e+06,1999.1
SA,"t0=180000;cool=0.997;tmin=8;iter=7",cap111_ss,1.17494e+06,1.16201e+06,1.19258e+06,7907.78
SA,"t0=180000;cool=0.998;tmin=8;iter=2",cap41_ss,1.57246e+06,1.56345e+06,1.59439e+06,9592.79
SA,"t0=180000;cool=0.998;tmin=8;iter=2",cap81_ss,1.19709e+06,1.18664e+06,1.20972e+06,6653.62
SA,"t0=180000;cool=0.998;tmin=8;iter=2",cap111_ss,1.1806e+06,1.16779e+06,1.19277e+06,6974.94
SA,"t0=180000;cool=0.998;tmin=8;iter=3",cap41_ss,1.57679e+06,1.55975e+06,1.59745e+06,12951
SA,"t0=180000;cool=0.998;tmin=8;iter=3",cap81_ss,1.18978e+06,1.18569e+06,1.19562e+06,3184
SA,"t0=180000;cool=0.998;tmin=8;iter=3",cap111_ss,1.18449e+06,1.16993e+06,1.20153e+06,11541.2
SA,"t0=180000;cool=0.998;tmin=8;iter=4",cap41_ss,1.56788e+06,1.55975e+06,1.58908e+06,8718.65
SA,"t0=180000;cool=0.998;tmin=8;iter=4",cap81_ss,1.18656e+06,1.18074e+06,1.19304e+06,4059.16
SA,"t0=180000;cool=0.998;tmin=8;iter=4",cap111_ss,1.17866e+06,1.17306e+06,1.18484e+06,4208.14
SA,"t0=180000;cool=0.998;tmin=8;iter=5",cap41_ss,1.57813e+06,1.55975e+06,1.61806e+06,17893.7
SA,"t0=180000;cool=0.998;tmin=8;iter=5",cap81_ss,1.18639e+06,1.18329e+06,1.18913e+06,2070.74
SA,"t0=180000;cool=0.998;tmin=8;iter=5",cap111_ss,1.18048e+06,1.17374e+06,1.19865e+06,7413.78
SA,"t0=240000;cool=0.994;tmin=8;iter=10",cap41_ss,1.57824e+06,1.56271e+06,1.62377e+06,18446.6
SA,"t0=240000;cool=0.994;tmin=8;iter=10",cap81_ss,1.19011e+06,1.18487e+06,1.20535e+06,6539.11
SA,"t0=240000;cool=0.994;tmin=8;iter=10",cap111_ss,1.18402e+06,1.1784e+06,1.19063e+06,3730.53
SA,"t0=240000;cool=0.994;tmin=8;iter=11",cap41_ss,1.56995e+06,1.56107e+06,1.59517e+06,10940.2
SA,"t0=240000;cool=0.994;tmin=8;iter=11",cap81_ss,1.18976e+06,1.18437e+06,1.19445e+06,2989.33
SA,"t0=240000;cool=0.994;tmin=8;iter=11",cap111_ss,1.18329e+06,1.16998e+06,1.19465e+06,6675.7
SA,"t0=240000;cool=0.994;tmin=8;iter=12",cap41_ss,1.56393e+06,1.55975e+06,1.56878e+06,2802.31
SA,"t0=240000;cool=0.994;tmin=8;iter=12",cap81_ss,1.18852e+06,1.18557e+06,1.19256e+06,2138.26
SA,"t0=240000;cool=0.994;tmin=8;iter=12",cap111_ss,1.18199e+06,1.16874e+06,1.19312e+06,7859.88
SA,"t0=240000;cool=0.994;tmin=8;iter=13",cap41_ss,1.57422e+06,1.56085e+06,1.58866e+06,9697.25
SA,"t0=240000;cool=0.994;tmin=8;iter=13",cap81_ss,1.19067e+06,1.18596e+06,1.19925e+06,4830.34
SA,"t0=240000;cool=0.994;tmin=8;iter=13",cap111_ss,1.18155e+06,1.17648e+06,1.19143e+06,5129.1
SA,"t0=240000;cool=0.995;tmin=8;iter=8",cap41_ss,1.56843e+06,1.56355e+06,1.57614e+06,3614.22
SA,"t0=240000;cool=0.995;tmin=8;iter=8",cap81_ss,1.19229e+06,1.18487e+06,1.19958e+06,5069.03
SA,"t0=240000;cool=0.995;tmin=8;iter=8",cap111_ss,1.18007e+06,1.17185e+06,1.18704e+06,4486.27
SA,"t0=240000;cool=0.995;tmin=8;iter=9",cap41_ss,1.57245e+06,1.56209e+06,1.58787e+06,8428.72
SA,"t0=240000;cool=0.995;tmin=8;iter=9",cap81_ss,1.19053e+06,1.1829e+06,1.20051e+06,6274.18
SA,"t0=240000;cool=0.995;tmin=8;iter=9",cap111_ss,1.17959e+06,1.17128e+06,1.19151e+06,5975.13
SA,"t0=240000;cool=0.995;tmin=8;iter=10",cap41_ss,1.57366e+06,1.56484e+06,1.59046e+06,7665.26
SA,"t0=240000;cool=0.995;tmin=8;iter=10",cap81_ss,1.18792e+06,1.18487e+06,1.19372e+06,2858.09
SA,"t0=240000;cool=0.995;tmin=8;iter=10",cap111_ss,1.17974e+06,1.16939e+06,1.19193e+06,6965.53
SA,"t0=240000;cool=0.995;tmin=8;iter=11",cap41_ss,1.56903e+06,1.55975e+06,1.5802e+06,6972.87
SA,"t0=240000;cool=0.995;tmin=8;iter=11",cap81_ss,1.1871e+06,1.18314e+06,1.19164e+06,2700.85
SA,"t0=240000;cool=0.995;tmin=8;iter=11",cap111_ss,1.17963e+06,1.17252e+06,1.19335e+06,7546.46
SA,"t0=240000;cool=0.996;tmin=8;iter=6",cap41_ss,1.56969e+06,1.56006e+06,1.58421e+06,9087.54
SA,"t0=240000;cool=0.996;tmin=8;iter=6",cap81_ss,1.19375e+06,1.18569e+06,1.23204e+06,14568.1
SA,"t0=240000;cool=0.996;tmin=8;iter=6",cap111_ss,1.18534e+06,1.17824e+06,1.19284e+06,5216.78
SA,"t0=240000;cool=0.996;tmin=8;iter=7",cap41_ss,1.56818e+06,1.56484e+06,1.57774e+06,4403.3
SA,"t0=240000;cool=0.996;tmin=8;iter=7",cap81_ss,1.18879e+06,1.18341e+06,1.19275e+06,3544.42
SA,"t0=240000;cool=0.996;tmin=8;iter=7",cap111_ss,1.17843e+06,1.16786e+06,1.18805e+06,6419.9
SA,"t0=240000;cool=0.996;tmin=8;iter=8",cap41_ss,1.57048e+06,1.56135e+06,1.58286e+06,5724.36
SA,"t0=240000;cool=0.996;tmin=8;iter=8",cap81_ss,1.18843e+06,1.18341e+06,1.19347e+06,3339.21
SA,"t0=240000;cool=0.996;tmin=8;iter=8",cap111_ss,1.18004e+06,1.17275e+06,1.18457e+06,4197.37
SA,"t0=240000;cool=0.996;tmin=8;iter=9",cap41_ss,1.56718e+06,1.55975e+06,1.58374e+06,7907.66
SA,"t0=240000;cool=0.996;tmin=8;iter=9",cap81_ss,1.19077e+06,1.18487e+06,1.19668e+06,4288.15
SA,"t0=240000;cool=0.996;tmin=8;iter=9",cap111_ss,1.18048e+06,1.1713e+06,1.19125e+06,6575.22
SA,"t0=240000;cool=0.997;tmin=8;iter=4",cap41_ss,1.58281e+06,1.57032e+06,1.62175e+06,15831.9
SA,"t0=240000;cool=0.997;tmin=8;iter=4",cap81_ss,1.1901e+06,1.18487e+06,1.19798e+06,4780.86
SA,"t0=240000;cool=0.997;tmin=8;iter=4",cap111_ss,1.18526e+06,1.1739e+06,1.20917e+06,10162
SA,"t0=240000;cool=0.997;tmin=8;iter=5",cap41_ss,1.57485e+06,1.56099e+06,1.59487e+06,10559.6
SA,"t0=240000;cool=0.997;tmin=8;iter=5",cap81_ss,1.19003e+06,1.18727e+06,1.19936e+06,4415.5
SA,"t0=240000;cool=0.997;tmin=8;iter=5",cap111_ss,1.18309e+06,1.174e+06,1.19389e+06,6912.08
