method,config,instance,avg_best8,best8,worst8,std8
EA,"pop=40;gen=500;tour=3;pm=0.10;pc=0.85;bias=0.50",cap41_ss,1.60002e+06,1.56812e+06,1.65188e+06,25377.9
EA,"pop=40;gen=500;tour=3;pm=0.10;pc=0.85;bias=0.50",cap81_ss,1.20494e+06,1.18971e+06,1.23009e+06,16293.7
EA,"pop=40;gen=500;tour=3;pm=0.10;pc=0.85;bias=0.50",cap111_ss,1.21201e+06,1.19843e+06,1.22943e+06,12427.2
EA,"pop=40;gen=500;tour=3;pm=0.25;pc=0.85;bias=0.50",cap41_ss,1.59551e+06,1.57596e+06,1.63547e+06,19566.4
EA,"pop=40;gen=500;tour=3;pm=0.25;pc=0.85;bias=0.50",cap81_ss,1.19966e+06,1.18915e+06,1.21998e+06,9495.23
EA,"pop=40;gen=500;tour=3;pm=0.25;pc=0.85;bias=0.50",cap111_ss,1.19599e+06,1.18281e+06,1.2028e+06,6168.78
EA,"pop=40;gen=500;tour=3;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.58042e+06,1.5637e+06,1.6014e+06,14112.5
EA,"pop=40;gen=500;tour=3;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.19554e+06,1.18583e+06,1.21838e+06,9876.07
EA,"pop=40;gen=500;tour=3;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.1898e+06,1.17883e+06,1.20803e+06,8282.59
EA,"pop=40;gen=500;tour=3;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.58988e+06,1.56889e+06,1.64813e+06,23453.3
EA,"pop=40;gen=500;tour=3;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.19451e+06,1.18619e+06,1.21695e+06,9639.94
EA,"pop=40;gen=500;tour=3;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.20325e+06,1.19143e+06,1.21402e+06,7216.92
EA,"pop=40;gen=500;tour=3;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.57537e+06,1.56803e+06,1.58566e+06,6751.58
EA,"pop=40;gen=500;tour=3;pm=0.90;pc=0.85;bias=0.50",cap81_ss,1.19836e+06,1.18908e+06,1.20659e+06,6482.77
EA,"pop=40;gen=500;tour=3;pm=0.90;pc=0.85;bias=0.50",cap111_ss,1.1992e+06,1.18496e+06,1.22445e+06,12196.7
EA,"pop=40;gen=500;tour=7;pm=0.10;pc=0.85;bias=0.50",cap41_ss,1.61487e+06,1.57895e+06,1.64256e+06,21218.7
EA,"pop=40;gen=500;tour=7;pm=0.10;pc=0.85;bias=0.50",cap81_ss,1.2073e+06,1.19064e+06,1.22228e+06,12399.7
EA,"pop=40;gen=500;tour=7;pm=0.10;pc=0.85;bias=0.50",cap111_ss,1.2094e+06,1.19747e+06,1.23661e+06,12248.5
EA,"pop=40;gen=500;tour=7;pm=0.25;pc=0.85;bias=0.50",cap41_ss,1.58269e+06,1.56845e+06,1.60286e+06,10846.4
EA,"pop=40;gen=500;tour=7;pm=0.25;pc=0.85;bias=0.50",cap81_ss,1.20346e+06,1.19197e+06,1.21671e+06,10169
EA,"pop=40;gen=500;tour=7;pm=0.25;pc=0.85;bias=0.50",cap111_ss,1.20165e+06,1.18291e+06,1.21649e+06,11557.4
EA,"pop=40;gen=500;tour=7;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.57079e+06,1.55975e+06,1.58064e+06,6666.05
EA,"pop=40;gen=500;tour=7;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.19352e+06,1.18664e+06,1.20277e+06,5273.07
EA,"pop=40;gen=500;tour=7;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.1912e+06,1.18115e+06,1.21063e+06,9410.73
EA,"pop=40;gen=500;tour=7;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.57468e+06,1.56455e+06,1.59186e+06,9145.91
EA,"pop=40;gen=500;tour=7;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.19656e+06,1.18355e+06,1.21506e+06,10591.5
EA,"pop=40;gen=500;tour=7;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.18929e+06,1.18124e+06,1.20324e+06,8073.21
EA,"pop=40;gen=500;tour=7;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.57266e+06,1.5638e+06,1.58196e+06,6679.93
EA,"pop=40;gen=500;tour=7;pm=0.90;pc=0.85;bias=0.50",cap81_ss,1.18994e+06,1.18596e+06,1.19459e+06,3296.93
EA,"pop=40;gen=500;tour=7;pm=0.90;pc=0.85;bias=0.50",cap111_ss,1.18524e+06,1.17832e+06,1.19532e+06,6066.77
EA,"pop=50;gen=400;tour=3;pm=0.10;pc=0.85;bias=0.50",cap41_ss,1.59622e+06,1.56673e+06,1.64514e+06,29307.2
EA,"pop=50;gen=400;tour=3;pm=0.10;pc=0.85;bias=0.50",cap81_ss,1.20407e+06,1.18909e+06,1.2243e+06,11516
EA,"pop=50;gen=400;tour=3;pm=0.10;pc=0.85;bias=0.50",cap111_ss,1.21106e+06,1.19545e+06,1.2354e+06,11958.5
EA,"pop=50;gen=400;tour=3;pm=0.25;pc=0.85;bias=0.50",cap41_ss,1.58828e+06,1.56619e+06,1.63514e+06,20574.7
EA,"pop=50;gen=400;tour=3;pm=0.25;pc=0.85;bias=0.50",cap81_ss,1.19304e+06,1.18669e+06,1.1988e+06,3251.84
EA,"pop=50;gen=400;tour=3;pm=0.25;pc=0.85;bias=0.50",cap111_ss,1.19355e+06,1.18833e+06,1.20208e+06,3925.77
EA,"pop=50;gen=400;tour=3;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.58683e+06,1.56899e+06,1.6099e+06,14248.1
EA,"pop=50;gen=400;tour=3;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.19634e+06,1.19265e+06,1.20163e+06,2824.18
EA,"pop=50;gen=400;tour=3;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.19308e+06,1.18034e+06,1.20634e+06,9611.83
EA,"pop=50;gen=400;tour=3;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.58892e+06,1.56981e+06,1.64888e+06,23648.2
EA,"pop=50;gen=400;tour=3;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.19715e+06,1.1876e+06,1.23122e+06,13512.9
EA,"pop=50;gen=400;tour=3;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.18997e+06,1.18179e+06,1.19518e+06,4845.99
EA,"pop=50;gen=400;tour=3;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.57856e+06,1.57268e+06,1.59318e+06,6550.06
EA,"pop=50;gen=400;tour=3;pm=0.90;pc=0.85;bias=0.50",cap81_ss,1.19827e+06,1.1889e+06,1.21357e+06,7544.31
EA,"pop=50;gen=400;tour=3;pm=0.90;pc=0.85;bias=0.50",cap111_ss,1.19919e+06,1.19107e+06,1.21185e+06,7029.71
EA,"pop=50;gen=400;tour=7;pm=0.10;pc=0.85;bias=0.50",cap41_ss,1.61889e+06,1.57821e+06,1.65069e+06,25680.2
EA,"pop=50;gen=400;tour=7;pm=0.10;pc=0.85;bias=0.50",cap81_ss,1.20886e+06,1.19364e+06,1.23367e+06,11627.7
EA,"pop=50;gen=400;tour=7;pm=0.10;pc=0.85;bias=0.50",cap111_ss,1.20459e+06,1.18663e+06,1.21903e+06,11404.9
EA,"pop=50;gen=400;tour=7;pm=0.25;pc=0.85;bias=0.50",cap41_ss,1.59305e+06,1.56751e+06,1.65239e+06,24470.3
EA,"pop=50;gen=400;tour=7;pm=0.25;pc=0.85;bias=0.50",cap81_ss,1.20266e+06,1.18754e+06,1.21881e+06,10474.2
EA,"pop=50;gen=400;tour=7;pm=0.25;pc=0.85;bias=0.50",cap111_ss,1.19283e+06,1.18518e+06,1.20113e+06,4678.96
EA,"pop=50;gen=400;tour=7;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.59238e+06,1.56995e+06,1.64515e+06,25582.8
EA,"pop=50;gen=400;tour=7;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.19028e+06,1.18583e+06,1.20054e+06,4871.6
EA,"pop=50;gen=400;tour=7;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.189e+06,1.18193e+06,1.19695e+06,4597.48
EA,"pop=50;gen=400;tour=7;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.58538e+06,1.5662e+06,1.61354e+06,15992
EA,"pop=50;gen=400;tour=7;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.19496e+06,1.18583e+06,1.20851e+06,8067.53
EA,"pop=50;gen=400;tour=7;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.19306e+06,1.18143e+06,1.20131e+06,6550.2
EA,"pop=50;gen=400;tour=7;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.57453e+06,1.56534e+06,1.58401e+06,6551
EA,"pop=50;gen=400;tour=7;pm=0.90;pc=0.85;bias=0.50",cap81_ss,1.19281e+06,1.18594e+06,1.19909e+06,4345.93
EA,"pop=50;gen=400;tour=7;pm=0.90;pc=0.85;bias=0.50",cap111_ss,1.18254e+06,1.17274e+06,1.20751e+06,10668.5
EA,"pop=80;gen=250;tour=3;pm=0.10;pc=0.85;bias=0.50",cap41_ss,1.60041e+06,1.56408e+06,1.6564e+06,34289.3
EA,"pop=80;gen=250;tour=3;pm=0.10;pc=0.85;bias=0.50",cap81_ss,1.19753e+06,1.18695e+06,1.2178e+06,9384.09
EA,"pop=80;gen=250;tour=3;pm=0.10;pc=0.85;bias=0.50",cap111_ss,1.2027e+06,1.18025e+06,1.22785e+06,12678.8
EA,"pop=80;gen=250;tour=3;pm=0.25;pc=0.85;bias=0.50",cap41_ss,1.58161e+06,1.56534e+06,1.61097e+06,13752.2
EA,"pop=80;gen=250;tour=3;pm=0.25;pc=0.85;bias=0.50",cap81_ss,1.2001e+06,1.18837e+06,1.21899e+06,11198.9
EA,"pop=80;gen=250;tour=3;pm=0.25;pc=0.85;bias=0.50",cap111_ss,1.19447e+06,1.18455e+06,1.20511e+06,6263.52
EA,"pop=80;gen=250;tour=3;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.57415e+06,1.56597e+06,1.59029e+06,7619.82
EA,"pop=80;gen=250;tour=3;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.19117e+06,1.18681e+06,1.19924e+06,4243.32
EA,"pop=80;gen=250;tour=3;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.19251e+06,1.18262e+06,1.20159e+06,6859.02
EA,"pop=80;gen=250;tour=3;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.57616e+06,1.56318e+06,1.61164e+06,15068.9
EA,"pop=80;gen=250;tour=3;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.19284e+06,1.18783e+06,1.20093e+06,4656.76
EA,"pop=80;gen=250;tour=3;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.18984e+06,1.17798e+06,1.20426e+06,9201.2
EA,"pop=80;gen=250;tour=3;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.57494e+06,1.56498e+06,1.59041e+06,8291.01
EA,"pop=80;gen=250;tour=3;pm=0.90;pc=0.85;bias=0.50",cap81_ss,1.19428e+06,1.18798e+06,1.20394e+06,6312.04
EA,"pop=80;gen=250;tour=3;pm=0.90;pc=0.85;bias=0.50",cap111_ss,1.20154e+06,1.18791e+06,1.21638e+06,9968.04
EA,"pop=80;gen=250;tour=7;pm=0.10;pc=0.85;bias=0.50",cap41_ss,1.59862e+06,1.57469e+06,1.63762e+06,21763
EA,"pop=80;gen=250;tour=7;pm=0.10;pc=0.85;bias=0.50",cap81_ss,1.19873e+06,1.19212e+06,1.21539e+06,7221.74
EA,"pop=80;gen=250;tour=7;pm=0.10;pc=0.85;bias=0.50",cap111_ss,1.20715e+06,1.19064e+06,1.22388e+06,9827.28
EA,"pop=80;gen=250;tour=7;pm=0.25;pc=0.85;bias=0.50",cap41_ss,1.57894e+06,1.5662e+06,1.60403e+06,13043
EA,"pop=80;gen=250;tour=7;pm=0.25;pc=0.85;bias=0.50",cap81_ss,1.1916e+06,1.18668e+06,1.19824e+06,3509.13
EA,"pop=80;gen=250;tour=7;pm=0.25;pc=0.85;bias=0.50",cap111_ss,1.19707e+06,1.18551e+06,1.21538e+06,8959.09
EA,"pop=80;gen=250;tour=7;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.5724e+06,1.56324e+06,1.58251e+06,6378.84
EA,"pop=80;gen=250;tour=7;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.1941e+06,1.18761e+06,1.19936e+06,3452.71
EA,"pop=80;gen=250;tour=7;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.19453e+06,1.18164e+06,1.21694e+06,9941.62
EA,"pop=80;gen=250;tour=7;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.57023e+06,1.56271e+06,1.58354e+06,7113.16
EA,"pop=80;gen=250;tour=7;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.19289e+06,1.18594e+06,1.20317e+06,5700.51
EA,"pop=80;gen=250;tour=7;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.1841e+06,1.17025e+06,1.19205e+06,6309.23
EA,"pop=80;gen=250;tour=7;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.56892e+06,1.56324e+06,1.58394e+06,6596.37
