method,config,instance,avg_best8,best8,worst8,std8
VNS,"iter=60;shake=4;ls=333",cap111_ss,1.19538e+06,1.17421e+06,1.20917e+06,9845.38
VNS,"iter=60;shake=6;ls=333",cap41_ss,1.56967e+06,1.56151e+06,1.58056e+06,6670.76
VNS,"iter=60;shake=6;ls=333",cap81_ss,1.18841e+06,1.18608e+06,1.19103e+06,1568.35
VNS,"iter=60;shake=6;ls=333",cap111_ss,1.19289e+06,1.18832e+06,1.20122e+06,4295.02
VNS,"iter=60;shake=8;ls=333",cap41_ss,1.56639e+06,1.56335e+06,1.57244e+06,2832.34
VNS,"iter=60;shake=8;ls=333",cap81_ss,1.18943e+06,1.18596e+06,1.19422e+06,2741.48
VNS,"iter=60;shake=8;ls=333",cap111_ss,1.19626e+06,1.18022e+06,1.21202e+06,11292.5
VNS,"iter=60;shake=10;ls=333",cap41_ss,1.57619e+06,1.56509e+06,1.62042e+06,17154
VNS,"iter=60;shake=10;ls=333",cap81_ss,1.18986e+06,1.18406e+06,1.19771e+06,4037.29
VNS,"iter=60;shake=10;ls=333",cap111_ss,1.20283e+06,1.19568e+06,1.23245e+06,11465.5
VNS,"iter=60;shake=2;ls=353",cap41_ss,1.56994e+06,1.56309e+06,1.5779e+06,5672.83
VNS,"iter=60;shake=2;ls=353",cap81_ss,1.18948e+06,1.18429e+06,1.19556e+06,3399.26
VNS,"iter=60;shake=2;ls=353",cap111_ss,1.19935e+06,1.19098e+06,1.21085e+06,7500.25
VNS,"iter=60;shake=4;ls=353",cap41_ss,1.56678e+06,1.56221e+06,1.57759e+06,4656.46
VNS,"iter=60;shake=4;ls=353",cap81_ss,1.18925e+06,1.18503e+06,1.19443e+06,2914.89
VNS,"iter=60;shake=4;ls=353",cap111_ss,1.19744e+06,1.18586e+06,1.20992e+06,7552.05
VNS,"iter=60;shake=6;ls=353",cap41_ss,1.56804e+06,1.56185e+06,1.5846e+06,7744.25
VNS,"iter=60;shake=6;ls=353",cap81_ss,1.18903e+06,1.18569e+06,1.19392e+06,2566.19
VNS,"iter=60;shake=6;ls=353",cap111_ss,1.19629e+06,1.18035e+06,1.20474e+06,7628.77
VNS,"iter=60;shake=8;ls=353",cap41_ss,1.5671e+06,1.56064e+06,1.58139e+06,8300.55
VNS,"iter=60;shake=8;ls=353",cap81_ss,1.18932e+06,1.18341e+06,1.19778e+06,4793.21
VNS,"iter=60;shake=8;ls=353",cap111_ss,1.19227e+06,1.17491e+06,1.20431e+06,9313.6
VNS,"iter=60;shake=10;ls=353",cap41_ss,1.56773e+06,1.55982e+06,1.58384e+06,7576.6
VNS,"iter=60;shake=10;ls=353",cap81_ss,1.18747e+06,1.18098e+06,1.19139e+06,2942.66
VNS,"iter=60;shake=10;ls=353",cap111_ss,1.19538e+06,1.18435e+06,1.20932e+06,9389.18
VNS,"iter=80;shake=2;ls=210",cap41_ss,1.57708e+06,1.56329e+06,1.62657e+06,19433.9
VNS,"iter=80;shake=2;ls=210",cap81_ss,1.1906e+06,1.18639e+06,1.19789e+06,3609.67
VNS,"iter=80;shake=2;ls=210",cap111_ss,1.2014e+06,1.19213e+06,1.20978e+06,5757.89
VNS,"iter=80;shake=4;ls=210",cap41_ss,1.56991e+06,1.56217e+06,1.58138e+06,6951.61
VNS,"iter=80;shake=4;ls=210",cap81_ss,1.19069e+06,1.18427e+06,1.19683e+06,3719.24
VNS,"iter=80;shake=4;ls=210",cap111_ss,1.19875e+06,1.18878e+06,1.21594e+06,8670.86
VNS,"iter=80;shake=6;ls=210",cap41_ss,1.5724e+06,1.56191e+06,1.588e+06,7193.87
VNS,"iter=80;shake=6;ls=210",cap81_ss,1.19525e+06,1.187e+06,1.2016e+06,4890.79
VNS,"iter=80;shake=6;ls=210",cap111_ss,1.19553e+06,1.17976e+06,1.21394e+06,9431.57
VNS,"iter=80;shake=8;ls=210",cap41_ss,1.57213e+06,1.56241e+06,1.58832e+06,7674.44
VNS,"iter=80;shake=8;ls=210",cap81_ss,1.1895e+06,1.18111e+06,1.19796e+06,4905.68
VNS,"iter=80;shake=8;ls=210",cap111_ss,1.20884e+06,1.18869e+06,1.22277e+06,11876.1
VNS,"iter=80;shake=10;ls=210",cap41_ss,1.57432e+06,1.56455e+06,1.60265e+06,11608.3
VNS,"iter=80;shake=10;ls=210",cap81_ss,1.19066e+06,1.18843e+06,1.1941e+06,1728.33
VNS,"iter=80;shake=10;ls=210",cap111_ss,1.20445e+06,1.19222e+06,1.22329e+06,10934
VNS,"iter=80;shake=2;ls=230",cap41_ss,1.57055e+06,1.56519e+06,1.5814e+06,5661.34
VNS,"iter=80;shake=2;ls=230",cap81_ss,1.18787e+06,1.18445e+06,1.19314e+06,2402.52
VNS,"iter=80;shake=2;ls=230",cap111_ss,1.20949e+06,1.19517e+06,1.22827e+06,10854.3
VNS,"iter=80;shake=4;ls=230",cap41_ss,1.57055e+06,1.56193e+06,1.58206e+06,7429.94
VNS,"iter=80;shake=4;ls=230",cap81_ss,1.19143e+06,1.18597e+06,1.19823e+06,4059.98
VNS,"iter=80;shake=4;ls=230",cap111_ss,1.19977e+06,1.18648e+06,1.21542e+06,8090.32
VNS,"iter=80;shake=6;ls=230",cap41_ss,1.56578e+06,1.56108e+06,1.57538e+06,4566.17
VNS,"iter=80;shake=6;ls=230",cap81_ss,1.18813e+06,1.18299e+06,1.1968e+06,4137.06
VNS,"iter=80;shake=6;ls=230",cap111_ss,1.19751e+06,1.18655e+06,1.20875e+06,6694.65
VNS,"iter=80;shake=8;ls=230",cap41_ss,1.56902e+06,1.562e+06,1.57852e+06,5222.4
VNS,"iter=80;shake=8;ls=230",cap81_ss,1.18913e+06,1.18465e+06,1.19592e+06,3144.73
VNS,"iter=80;shake=8;ls=230",cap111_ss,1.20138e+06,1.19013e+06,1.20999e+06,6494.91
VNS,"iter=80;shake=10;ls=230",cap41_ss,1.56573e+06,1.56069e+06,1.57564e+06,5098.9
VNS,"iter=80;shake=10;ls=230",cap81_ss,1.19088e+06,1.18341e+06,1.20961e+06,8098.45
VNS,"iter=80;shake=10;ls=230",cap111_ss,1.20044e+06,1.18603e+06,1.2139e+06,9487.92
VNS,"iter=80;shake=2;ls=250",cap41_ss,1.5711e+06,1.56059e+06,1.5893e+06,9016.56
VNS,"iter=80;shake=2;ls=250",cap81_ss,1.19143e+06,1.18682e+06,1.19643e+06,3319.06
VNS,"iter=80;shake=2;ls=250",cap111_ss,1.19813e+06,1.18579e+06,1.21587e+06,8881.4
VNS,"iter=80;shake=4;ls=250",cap41_ss,1.56893e+06,1.56297e+06,1.5745e+06,3036.27
VNS,"iter=80;shake=4;ls=250",cap81_ss,1.18962e+06,1.18413e+06,1.19301e+06,2533.86
VNS,"iter=80;shake=4;ls=250",cap111_ss,1.19932e+06,1.18757e+06,1.21472e+06,8289.99
VNS,"iter=80;shake=6;ls=250",cap41_ss,1.5743e+06,1.56064e+06,1.62358e+06,19352.5
VNS,"iter=80;shake=6;ls=250",cap81_ss,1.19035e+06,1.18382e+06,1.19771e+06,3867.19
VNS,"iter=80;shake=6;ls=250",cap111_ss,1.19741e+06,1.18752e+06,1.21321e+06,8014.46
VNS,"iter=80;shake=8;ls=250",cap41_ss,1.56774e+06,1.56388e+06,1.57887e+06,4970.03
